"title","artist","album","source_count","sources"
"Heroes - Single Version; 2002 Remaster","David Bowie","Best of Bowie","1","Liked Songs"
"Let's Dance - 2018 Remaster","David Bowie","Let's Dance (2018 Remaster)","1","na klar"
"Modern Love - 2018 Remaster","David Bowie","Let's Dance (2018 Remaster)","1","na klar"
"Rebel Rebel - 2016 Remaster","David Bowie","Diamond Dogs (2016 Remaster)","1","%^*+"
"Rock 'n' Roll Suicide - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","1","%^*+"
"Soul Love - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","1","Liked Songs"
"Ziggy Stardust - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","1","%^*+"
"Go Your Own Way - 2004 Remaster","Fleetwood Mac","Rumours","1","Mmmmmm"
"Isn't It Midnight - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","1","SORRY SORRY SPRRYYY"
"Only over You - 2016 Remaster","Fleetwood Mac","Mirage (Deluxe Edition)","1","Ґems"
"Sara - 2015 Remaster","Fleetwood Mac","Tusk (Deluxe Edition)","1","na klar"
"Seven Wonders - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","1","na klar"
"Silver Girl","Fleetwood Mac","Say You Will","1","Ґems"
"Sisters of the Moon - 2015 Remaster","Fleetwood Mac","Tusk (Deluxe Edition)","1","Ґems"
"MEGALOVANIA (from ""UNDERTALE"")","GENTLE LOVE","Prescription for Sleep: Fight for Your Dreams","1","Liked Songs"
"Boulevard of Broken Dreams","Green Day","Boulevard of Broken Dreams","1","Liked Songs"
"Holiday / Boulevard of Broken Dreams","Green Day","American Idiot (Deluxe)","1","Liked Songs"
"Girl of My Dreams","Guti","Girl of My Dreams","1","Liked Songs"
"Earthmover","Have A Nice Life","Deathconsciousness","1","Liked Songs"
