"title","artist","album","source_count","sources"
"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","CHROMAKOPIA","4","Liked Songs; Fashion killa; waves type playlist; Na ja.."
"I Forgot To Be Your Lover","William Bell","The Man In The Street: The Complete Yellow Stax Solo Singles (1968-1974)","4","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"530","¥$, Kanye West, Ty Dolla $ign","VULTURES 2","3","Liked Songs; Kanye ye; K¥_00"
"BURN","¥$, Kanye West, Ty Dolla $ign","VULTURES 1","3","Liked Songs; Kanye ye; K¥_00"
"PROMOTION","¥$, Kanye West, Ty Dolla $ign","VULTURES 2","3","Liked Songs; Kanye ye; K¥_00"
"SKY CITY","¥$, Kanye West, Ty Dolla $ign","VULTURES 2","3","Liked Songs; Kanye ye; K¥_00"
"TALKING","¥$, Kanye West, Ty Dolla $ign","VULTURES 1","3","Liked Songs; Kanye ye; K¥_00"
"TALKING","¥$, Kanye West, Ty Dolla $ign, North West","TALKING","3","Liked Songs; Kanye ye; K¥_00"
"r - Cali","A$AP Rocky","The Music of Grand Theft Auto V, Vol. 1: Original Music","3","Liked Songs; %^*+; Fashion killa"
"Sandman","A$AP Rocky","LIVE.LOVE.A$AP","3","Liked Songs; Fashion killa; Joo"
"Tailor Swif","A$AP Rocky","Tailor Swif","3","Liked Songs; Fashion killa; Joo"
"Fukk Sleep (feat. FKA twigs)","A$AP Rocky, FKA twigs","TESTING","3","Liked Songs; Fashion killa; Tunes"
"Livin' On A Prayer","Bon Jovi","Slippery When Wet","3","Liked Songs; Rockin n rollin; Mmmmmm"
"GRAVITY (FEAT. TYLER, THE CREATOR)","Brent Faiyaz, Dahi, Tyler, The Creator","WASTELAND","3","Liked Songs; марян × talia"
"Memories (feat. Kid Cudi)","David Guetta, Kid Cudi","One More Love","3","less goo; Turn it up; Tunes"
"Sextape","Deftones","Diamond Eyes","3","Liked Songs; Bbbnnnllö; YO"
"JESSE","DONDA, Kanye West, Ye","DONDA 2","3","Liked Songs; Kanye ye; K¥_00"
"KEEP THE FLOWERS","DONDA, Kanye West, Ye","DONDA 2","3","Liked Songs; Kanye ye; K¥_00"
"Do Not Disturb","Drake","More Life","3","Liked Songs; Gym; Tunes"
"Jumbotron Shit Poppin","Drake","Her Loss","3","Liked Songs; Gym; Tunes"
"Texts Go Green","Drake","Honestly, Nevermind","3","Liked Songs; Chillout; Tunes"
"Tie That Binds","Drake","Honestly, Nevermind","3","Liked Songs; Turn it up; Tunes"
"Broke Boys","Drake, 21 Savage","Her Loss","3","Liked Songs; Gym; Tunes"
"Circo Loco","Drake, 21 Savage","Her Loss","3","Liked Songs; Gym; Tunes"
"Jimmy Cooks (feat. 21 Savage)","Drake, 21 Savage","Honestly, Nevermind","3","Liked Songs; Gym; Tunes"
"Get It Together","Drake, Black Coffee, Jorja Smith","More Life","3","Liked Songs; Chillout; Turn it up"
"Wants and Needs (feat. Lil Baby)","Drake, Lil Baby","Scary Hours 2","3","Liked Songs; Gym; Tunes"
"HYFR (Hell Ya Fucking Right)","Drake, Lil Wayne","Take Care (Deluxe)","3","Liked Songs; Gym; Tunes"
"IDGAF (feat. Yeat)","Drake, Yeat","For All The Dogs","3","Liked Songs; Tunes"
"welcome and goodbye","Dream, Ivory","welcome and goodbye","3","Liked Songs; Na ja.."
"Biking","Frank Ocean, JAŸ-Z, Tyler, The Creator","Biking","3","frank and chill; Tralalelo Tralala; Frank Montell"
"Can't Take My Eyes off You","Frankie Valli","Solo","3","Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
