"title","artist","album","source_count","sources"
"Beno!","Playboi Carti","Whole Lotta Red","2","Opium; Tunes"
"Control","Playboi Carti","Whole Lotta Red","2","Liked Songs; Opium"
"King Vamp","Playboi Carti","Whole Lotta Red","2","Liked Songs; Opium"
"LIKE WEEZY","Playboi Carti","MUSIC - SORRY 4 DA WAIT","2","Liked Songs"
"Location","Playboi Carti","Playboi Carti","2","Liked Songs; Tunes"
"New N3on","Playboi Carti","Whole Lotta Red","2","Liked Songs; Opium"
"Not PLaying","Playboi Carti","Whole Lotta Red","2","Liked Songs; Opium"
"Over","Playboi Carti","Whole Lotta Red","2","Liked Songs; Opium"
"Place","Playboi Carti","Whole Lotta Red","2","Liked Songs; Opium"
"Punk Monk","Playboi Carti","Whole Lotta Red","2","Liked Songs; Opium"
"Slay3r","Playboi Carti","Whole Lotta Red","2","Liked Songs; Opium"
"Fell In Luv (feat. Bryson Tiller)","Playboi Carti, Bryson Tiller","Die Lit","2","Liked Songs; Gym"
"Flex","Playboi Carti, Leven Kali","Playboi Carti","2","Liked Songs; Tunes"
"Shoota (feat. Lil Uzi Vert)","Playboi Carti, Lil Uzi Vert","Die Lit","2","Liked Songs; Tunes"
"Flex (feat. Juice WRLD)","Polo G, Juice WRLD","THE GOAT","2","Gym"
"100 Racks (Offset feat. Playboi Carti)","Quality Control, Offset, Playboi Carti","Quality Control: Control The Streets Volume 2","2","Liked Songs; Tunes"
"Timeless (feat. Playboi Carti)","The Weeknd, Playboi Carti","Timeless","2","Liked Songs; Opium"
"Slayerr","Tm88, Lil Uzi Vert","Slayerr","2","Liked Songs; Tunes"
"FE!N (feat. Playboi Carti)","Travis Scott, Playboi Carti","UTOPIA","2","Liked Songs; Tunes"
"TELEKINESIS (feat. SZA & Future)","Travis Scott, SZA, Future","UTOPIA","2","Liked Songs; Tunes"
"Miss The Rage (feat. Playboi Carti)","Trippie Redd, Playboi Carti","Miss The Rage (feat. Playboi Carti)","2","Gym"
"Proud of You (feat. Lil Uzi Vert & Yung Kayo)","Young Stoner Life, Young Thug, Yung Kayo, Lil Uzi Vert","Slime Language 2","2","Liked Songs; Tunes"
"X (feat. Future)","21 Savage, Metro Boomin, Future","Savage Mode","1","Gym"
"Company (feat. Future)","24kGoldn, Future","El Dorado","1","Gym"
"actor","2hollis","White Tiger","1","<2"
"beginning","2hollis","star","1","Liked Songs"
"cliche","2hollis","whiplash / cliche","1","<2"
"cope","2hollis","star","1","Liked Songs"
"destroy me","2hollis","star","1","Liked Songs"
"dream rain sports","2hollis","star","1","Liked Songs"
"eldest child","2hollis","star","1","Liked Songs"
"FORFEIT","2hollis","2","1","<2"
"girl","2hollis","star","1","Liked Songs"
"lie","2hollis","boy","1","<2"
"nerve","2hollis","star","1","Liked Songs"
"nice","2hollis","star","1","Liked Songs"
"safe","2hollis","star","1","Liked Songs"
"teenage soldier","2hollis","boy","1","<2"
"tell me","2hollis","star","1","Liked Songs"
"two bad","2hollis","boy","1","<2"
"whiplash","2hollis","whiplash / cliche","1","<2"
"you","2hollis","star","1","Liked Songs"
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)","A$AP Mob, A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert, Frank Ocean","RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)","1","Tralalelo Tralala"
"GO AGAIN (feat. Superheaven)","BNYX®, Yeat, Superheaven","GO AGAIN (feat. Superheaven)","1","Liked Songs"
"Fever","Buckshot, fakemink","Fever","1","Liked Songs"
"Uh Uh - feat. Playboi Carti","Chief Keef, Playboi Carti","Mansion Musick","1","Liked Songs"
